wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
2303	23	26	3	27	['AT1G20810', 'AT2G42975', 'AT1G07510', 'AT4G20820', 'AT5G42070', 'AT2G43010', 'AT1G23740', 'AT1G10170', 'AT3G53560', 'AT1G50250', 'AT3G22690', 'AT2G40760', 'AT5G12470', 'AT3G24590', 'AT1G29920', 'AT1G30510', 'AT4G13010', 'AT2G24020', 'AT1G15820', 'AT2G37230', 'AT1G06690', 'AT2G21160', 'AT1G15140', 'AT1G79230', 'AT1G79450', 'AT3G57680', 'AT4G24930']
35015	35	50	15	7	['AT5G39830', 'AT4G31560', 'AT3G47060', 'AT4G18370', 'AT1G14150', 'AT3G26580', 'AT2G26800']
11010	11	21	10	9	['AT5G39830', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT4G24750', 'AT1G12250', 'AT5G03455', 'AT5G35170', 'AT2G27290']
1004a	10	14	4	7	['AT1G29920', 'AT1G07510', 'AT1G52220', 'AT1G15820', 'AT5G52970', 'AT2G43010', 'AT3G24590']
204a	2	6	4	6	['AT2G37400', 'AT1G27510', 'AT1G78915', 'AT1G65260', 'AT2G01140', 'AT2G21160']
37012	37	49	12	20	['AT4G13670', 'AT5G13120', 'AT1G55370', 'AT2G20270', 'AT4G35770', 'AT4G20820', 'AT1G07510', 'AT1G15820', 'AT1G29920', 'AT3G22690', 'AT5G52970', 'AT2G40760', 'AT1G74710', 'AT3G57680', 'AT3G15110', 'AT1G42960', 'AT1G06690', 'AT2G43010', 'AT5G12470', 'AT1G17850']
4504	45	49	4	12	['AT2G21160', 'AT3G53560', 'AT1G30510', 'AT5G62720', 'AT1G74070', 'AT5G02160', 'AT1G27510', 'AT2G37230', 'AT4G38100', 'AT1G31180', 'AT1G03850', 'AT2G40400']
3406	34	40	6	10	['AT2G17630', 'AT2G30695', 'AT1G76760', 'AT2G37660', 'AT4G04020', 'AT5G19370', 'AT1G12250', 'AT2G44990', 'AT1G80030', 'AT5G01500']
2906	29	35	6	17	['AT2G42220', 'AT4G13670', 'AT5G19500', 'AT2G42975', 'AT4G13010', 'AT1G07510', 'AT1G50250', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT2G22360', 'AT4G39460', 'AT5G16150', 'AT5G16660', 'AT3G24590', 'AT5G21430', 'AT5G12470']
2704a	27	31	4	8	['AT1G20810', 'AT1G30510', 'AT1G79450', 'AT3G53560', 'AT1G79230', 'AT5G53490', 'AT4G24930', 'AT2G37230']
107	1	8	7	6	['AT5G42765', 'AT1G74710', 'AT1G66670', 'AT1G76760', 'AT4G04020', 'AT1G72640']
20015	20	35	15	4	['AT2G42220', 'AT5G16660', 'AT4G39460', 'AT2G22360']
17014	17	31	14	6	['AT2G26340', 'AT1G65230', 'AT5G07020', 'AT5G01220', 'AT1G54780', 'AT5G08050']
